,Class,FX_u,FX_s,FX_m,FX_h,umag,gmag,rmag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,3.6mag,4.5mag,5.8mag,8.0mag,Bmag,imag
36,AGN,6.85e-13,1.58e-12,2e-12,4.86e-12,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
37,AGN,5.89e-15,4.39e-15,7.32e-15,1.71e-14,23.014,21.528,20.877,20.496,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.88
38,AGN,1.21e-14,1.2e-14,2.3e-14,2.08e-14,9999999.0,9999999.0,19.65,9999999.0,9999999.0,9999999.0,9999999.0,17.197,15.584,12.226,9999999.0,9999999.0,9999999.0,9999999.0,19.9,9999999.0
39,AGN,3.41e-14,3.44e-14,2.94e-14,2.78e-14,20.305,20.025,20.023,19.483,9999999.0,9999999.0,9999999.0,15.466,14.375,11.552,9999999.0,9999999.0,9999999.0,9999999.0,18.7,19.753
40,AGN,1.28e-14,4.08e-14,2.91e-14,1.43e-13,9999999.0,9999999.0,8.96,9999999.0,9999999.0,9999999.0,9999999.0,9.86,9.321,5.004,9999999.0,9999999.0,9999999.0,9999999.0,9.2,9.23
41,AGN,6.98e-15,9.31e-15,8e-15,1.57e-14,19.895,19.903,19.779,19.675,9999999.0,9999999.0,9999999.0,16.983,15.499,12.04,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,19.626
42,AGN,1.3e-16,4.25e-16,2.98e-16,1.36e-14,22.149,20.746,19.411,18.41,9999999.0,9999999.0,9999999.0,14.936,14.449,10.62,9999999.0,9999999.0,9999999.0,9999999.0,20.06,18.779
43,AGN,1.96e-14,4.54e-14,6.27e-14,1.22e-13,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
44,AGN,1.39e-14,3.14e-14,3.34e-14,7.13e-14,9999999.0,9999999.0,19.39,9999999.0,9999999.0,9999999.0,9999999.0,14.759,14.063,11.323,9999999.0,9999999.0,9999999.0,9999999.0,19.15,18.56
45,AGN,1.91e-14,3.17e-14,5.19e-14,1.43e-13,21.168,20.992,20.649,20.257,9999999.0,9999999.0,9999999.0,13.726,12.631,9.678,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.406
